text,label,word_count
The head of state visited the flood-affected regions and pledged emergency relief funding.,Politics,13
The president signed an executive order extending environmental protections across federal lands.,Politics,12
The political party's leadership election was won by the left-wing candidate by a narrow margin.,Politics,15
The surfing champion rode a 20-metre wave to claim the Big Wave Award for 2025.,Sports,15
The American athlete won the long jump with a leap of 8.95 metres at the World Championships.,Sports,17
"The badminton player's overhead smash has been clocked at over 400km/h, the world's fastest.",Sports,14
"The young footballer signed a five-year contract extension worth 300,000 pounds per week.",Sports,13
The president signed a landmark bipartisan infrastructure bill worth two trillion dollars.,Politics,12
NBA playoffs: the Warriors defeated the Celtics 112-108 in a thrilling game seven.,Sports,13
The football team secured a dramatic last-minute victory in the championship final with a stunning header from the striker.,Sports,19
The golf champion carded a final-round 65 to win the Masters tournament by two strokes.,Sports,15
The goalkeeper saved a penalty in extra time to send his side into the cup final.,Sports,16
The whistleblower leaked classified documents exposing a wide-scale government surveillance network.,Politics,11
The weightlifter lifted a combined total of 440kg to claim the Olympic gold medal.,Sports,14
The government introduced legislation to cap energy prices for vulnerable households.,Politics,11
Serena Williams announced her retirement from professional tennis after a remarkable 23-year career.,Sports,13
The ambassador was expelled following allegations of espionage against the host government.,Politics,12
The parliamentary committee launched an inquiry into the lobbying practices of pharmaceutical firms.,Politics,13
The boxer retained his world heavyweight championship title with a knockout in the eighth round.,Sports,15
"The cricketer was caught behind for a golden duck, prompting boos from the home crowd.",Sports,15
The opposition leader accused the government of mismanaging the national health service budget.,Politics,13
"The youth vote surged in the election, with under-30s backing the progressive candidate by 70 percent.",Politics,16
The ice hockey goalie made 45 saves to earn a shutout in the Stanley Cup playoff match.,Sports,17
"The archery team won silver at the Asian Games, missing gold by a single point.",Sports,15
"The president-elect named her cabinet, with several women appointed to senior ministerial roles.",Politics,13
The rugby team's fly-half kicked four penalties to secure a narrow win over their rivals.,Sports,15
The triathlete finished the gruelling Ironman race despite suffering from cramp in the swim leg.,Sports,15
The data protection commissioner fined the ministry for breaching citizens' privacy rights.,Politics,12
The cricket team won the Ashes series after a commanding performance in the final test match.,Sports,16
Sanctions were imposed on the country following evidence of human rights violations.,Politics,12
The Formula 1 driver set the fastest lap in qualifying and will start from pole position.,Sports,16
The darts player hit nine consecutive 180s to win the World Darts Championship in dramatic fashion.,Sports,16
The constitutional amendment was ratified by a two-thirds majority in the national assembly.,Politics,13
"The rowing eight won gold at the World Rowing Championships, their third consecutive title.",Sports,14
The political crisis deepened as three ministers resigned within 48 hours over policy disagreements.,Politics,14
"The Olympic swimming relay team set a new world record, breaking the previous mark by nearly a second.",Sports,18
The central bank raised interest rates by 50 basis points to combat rising inflation.,Politics,14
"The peace agreement was signed by both factions, ending a three-year civil conflict.",Politics,13
The football referee was criticised for failing to award a clear penalty kick in the final minutes.,Sports,17
"The baseball pitcher threw a no-hitter, striking out twelve batters in a dominant performance.",Sports,14
"The youth academy graduate made his first-team debut, scoring twice against a top-four rival.",Sports,14
The snooker player compiled a maximum 147 break in the first round of the World Championship.,Sports,16
